Age,YearsBP,TempC
10.4399,10439.9,-32.83
10.4528,10452.8,-32.8578
10.4683,10468.3,-32.8847
10.4683,10468.3,-32.9067
10.4814,10481.4,-32.9346
10.494,10494,-32.9755
10.509,10509,-33.0171
10.522,10522,-33.0783
10.537,10537,-33.1569
10.551,10551,-33.1918
10.565,10565,-33.2541
10.58,10580,-33.2725
10.593,10593,-33.3263
10.606,10606,-33.389
10.62,10620,-33.4807
10.634,10634,-33.5587
10.648,10648,-33.6404
10.662,10662,-33.7566
10.678,10678,-33.8551
10.692,10692,-33.9459
10.706,10706,-34.0437
10.72,10720,-34.1251
10.734,10734,-34.204
10.747,10747,-34.2847
10.762,10762,-34.3801
10.762,10762,-34.415
10.792,10792,-34.5911
10.806,10806,-34.6954
10.819,10819,-34.8006
10.819,10819,-34.8495
10.833,10833,-34.9272
10.847,10847,-35.0125
10.862,10862,-35.0468
10.877,10877,-35.0771
10.891,10891,-35.1263
10.921,10921,-35.5526
10.937,10937,-35.5352
10.951,10951,-35.544
10.965,10965,-34.963
10.98,10980,-35.1465
10.995,10995,-35.404
11.011,11011,-35.4523
11.025,11025,-35.3474
11.039,11039,-35.618
11.057,11057,-35.7361
11.071,11071,-36.2211
11.087,11087,-36.208
11.101,11101,-35.9327
11.12,11120,-36.0682
11.135,11135,-36.3914
11.149,11149,-36.304
11.163,11163,-35.9939
11.18,11180,-35.3911
11.197,11197,-35.4523
11.213,11213,-35.3691
11.229,11229,-35.4566
11.243,11243,-35.3954
11.258,11258,-35.4609
11.274,11274,-35.8061
11.289,11289,-36.3661
11.307,11307,-36.422
11.324,11324,-37.7459
11.339,11339,-37.7728
11.354,11354,-38.3945
11.371,11371,-38.7716
11.389,11389,-39.4242
11.408,11408,-39.4547
11.427,11427,-38.8125
11.446,11446,-38.7563
11.462,11462,-38.0428
11.479,11479,-37.3495
11.496,11496,-36.6361
11.512,11512,-36.6187
11.527,11527,-36.5226
11.542,11542,-35.8847
11.558,11558,-35.8969
11.576,11576,-36.3355
11.594,11594,-36.152
11.611,11611,-36.6413
11.628,11628,-37.8034
11.647,11647,-39.8676
11.666,11666,-41.5342
11.666,11666,-42.4037
11.69,11690,-44.3364
