siteName,latitude,longitude,age,pollenPercentage,pollenSum,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,tmin1,tmin2,tmin3,tmin4,tmin5,tmin6,tmin7,tmin8,tmin9,tmin10,tmin11,tmin12,tmax1,tmax2,tmax3,tmax4,tmax5,tmax6,tmax7,tmax8,tmax9,tmax10,tmax11,tmax12
Elkhorn Slough,36.82535,-121.76415,5577.0,2.74725274725,728.0,111.1,112.9,115.9,53.4,11.0,1.7,0.4,1.0,4.2,22.6,57.5,95.2,4.59,5.6,5.36,5.68,7.34,8.86,10.11,10.16,9.6,7.8,5.25,4.19,13.01,14.01,13.84,14.95,17.48,21.34,23.35,23.39,22.79,20.28,16.6,13.53
Elkhorn Slough,36.82535,-121.76415,5735.0,2.61780104712,573.0,110.9,96.3,85.8,37.1,8.2,1.5,0.4,1.1,4.9,27.6,70.7,107.8,4.55,5.33,4.91,5.22,7.05,8.88,10.4,10.62,10.1,8.26,5.6,4.37,12.73,13.93,14.09,15.38,17.82,21.41,23.25,23.31,22.85,20.39,16.58,13.3
Elkhorn Slough,36.82535,-121.76415,5911.0,2.52479711452,1109.0,129.3,120.6,95.3,39.8,9.0,1.6,0.4,0.9,3.0,14.3,40.6,92.1,4.77,5.65,5.31,5.63,7.41,9.13,10.55,10.69,10.14,8.3,5.67,4.5,13.07,14.07,14.09,15.33,17.87,21.65,23.69,23.91,23.54,21.08,17.21,13.8
Elkhorn Slough,36.82535,-121.76415,6252.0,2.04978038067,683.0,115.4,106.4,98.3,47.6,11.7,2.2,0.6,1.4,5.4,25.8,61.3,101.8,4.8,5.57,5.04,5.27,7.1,8.96,10.48,10.62,9.98,8.12,5.56,4.51,12.96,13.96,13.85,15.04,17.63,21.53,23.58,23.63,23.02,20.47,16.7,13.54
Elkhorn Slough,36.82535,-121.76415,6474.0,2.75423728814,472.0,122.9,109.2,88.3,40.7,10.8,2.3,0.6,1.3,4.2,18.6,47.9,96.3,3.91,4.9,4.81,5.41,7.41,9.25,10.7,10.8,10.11,8.06,5.15,3.74,12.04,13.28,13.65,15.25,18.02,21.88,23.86,23.88,23.24,20.48,16.33,12.75
CA-HUM-558 (Pilot Ridge),40.6617,-123.6691,174.0,0.373134328358,536.0,268.4,237.3,176.4,100.7,59.2,25.2,8.5,10.4,24.9,85.1,191.2,252.3,0.86,1.44,1.71,3.02,5.82,8.71,10.68,10.15,8.23,5.29,2.85,1.11,8.93,9.99,10.41,12.15,15.34,18.77,21.57,21.21,19.57,15.92,11.83,9.47
CA-HUM-558 (Pilot Ridge),40.6617,-123.6691,1402.0,0.171526586621,583.0,279.4,245.3,170.5,97.4,61.4,28.3,9.4,10.4,21.9,68.6,157.7,238.4,2.26,2.79,2.86,3.84,6.22,8.73,10.55,10.16,8.61,6.09,3.99,2.45,10.74,11.68,11.85,13.24,16.07,19.2,21.93,21.73,20.45,17.21,13.43,11.25
CA-HUM-558 (Pilot Ridge),40.6617,-123.6691,1546.0,0.20964360587,477.0,292.1,259.7,179.1,102.6,65.3,30.3,9.8,10.5,21.4,66.0,152.3,238.6,1.32,1.97,2.26,3.5,6.12,8.79,10.63,10.1,8.31,5.52,3.19,1.52,9.6,10.44,10.58,12.13,15.31,18.87,21.83,21.59,20.03,16.48,12.49,10.2
CA-HUM-558 (Pilot Ridge),40.6617,-123.6691,1803.0,0.649350649351,462.0,292.9,239.7,169.8,101.6,68.0,34.0,12.6,15.7,35.9,112.2,233.7,293.6,2.18,2.46,2.35,3.23,5.63,8.26,10.31,10.18,8.88,6.48,4.34,2.61,10.1,10.8,10.85,12.19,15.01,18.21,21.17,21.32,20.41,17.32,13.44,10.94
CA-HUM-558 (Pilot Ridge),40.6617,-123.6691,1877.0,0.214592274678,466.0,316.8,273.1,189.4,101.1,56.5,23.3,7.7,9.5,23.4,83.4,200.3,286.7,1.8,2.17,2.14,3.19,5.87,8.77,10.85,10.47,8.73,5.99,3.73,2.1,9.74,10.44,10.43,11.91,15.14,18.83,21.93,21.78,20.25,16.72,12.74,10.42
CA-HUM-558 (Pilot Ridge),40.6617,-123.6691,2015.0,0.243309002433,411.0,291.5,245.8,164.8,93.6,60.5,29.1,10.0,11.3,24.0,74.9,171.1,255.8,0.5,0.81,0.81,1.95,4.72,7.73,9.92,9.66,7.99,5.22,2.81,0.97,8.64,9.4,9.48,10.99,14.14,17.69,20.71,20.59,19.18,15.71,11.72,9.34
CA-HUM-558 (Pilot Ridge),40.6617,-123.6691,4064.0,0.19120458891,523.0,286.8,262.4,186.7,101.0,56.5,23.1,7.2,8.1,18.6,64.7,157.7,238.9,0.55,1.04,1.47,2.87,5.59,8.33,10.4,10.28,8.9,6.19,3.51,1.22,8.85,9.79,10.33,12.13,15.25,18.56,21.48,21.52,20.39,16.97,12.66,9.79
CA-HUM-558 (Pilot Ridge),40.6617,-123.6691,4657.0,0.412371134021,485.0,250.8,242.8,201.1,119.8,67.9,26.7,8.4,9.9,23.6,80.0,176.1,227.9,1.42,1.87,2.01,3.16,5.77,8.51,10.51,10.22,8.66,5.99,3.64,1.81,9.78,10.34,10.17,11.53,14.71,18.43,21.63,21.6,20.2,16.78,12.86,10.55
Benicia State Park,38.0734722222,-122.193055556,-38.0,1.43426751958,348.61,138.5,132.1,96.2,44.4,16.0,6.3,0.6,1.5,5.4,32.7,67.4,117.1,3.4,5.14,6.52,7.87,9.97,11.9,12.71,12.65,12.22,10.16,6.74,4.0,12.71,15.5,18.16,20.83,23.96,26.88,28.58,28.32,27.63,23.96,18.13,13.35
Benicia State Park,38.0734722222,-122.193055556,-1.0,0.158828481123,629.61,121.2,118.6,95.9,45.7,15.6,5.7,0.5,1.5,6.0,39.1,76.7,112.8,2.96,4.47,5.56,6.78,8.96,11.15,12.18,12.21,11.78,9.71,6.34,3.65,11.94,14.46,16.9,19.5,22.72,25.88,27.86,27.87,27.37,23.77,17.85,12.86
Benicia State Park,38.0734722222,-122.193055556,52.0,2.86033008209,349.61,191.6,177.7,116.9,52.8,20.2,8.5,0.8,1.9,6.1,34.3,73.6,147.7,3.05,4.6,5.54,6.54,8.51,10.51,11.38,11.29,10.82,8.89,5.82,3.5,11.84,14.18,16.27,18.62,21.78,25.03,27.1,27.12,26.59,23.08,17.4,12.67
Benicia State Park,38.0734722222,-122.193055556,97.0,2.83624723972,493.61,143.3,125.0,87.8,39.9,14.5,6.0,0.6,1.8,7.1,45.6,91.0,138.8,3.11,4.6,5.35,6.3,8.46,10.75,11.72,11.44,10.6,8.47,5.47,3.4,11.96,14.53,16.69,19.05,22.2,25.38,27.24,26.88,25.97,22.29,16.77,12.43
Benicia State Park,38.0734722222,-122.193055556,150.0,2.10076677987,285.61,136.1,127.1,105.3,53.4,19.7,7.7,0.8,2.4,10.0,64.0,113.5,143.5,3.41,4.91,5.66,6.47,8.32,10.27,11.1,10.97,10.48,8.65,5.8,3.72,12.44,14.83,16.66,18.8,21.95,25.3,27.28,26.92,25.93,22.28,16.94,12.84
Benicia State Park,38.0734722222,-122.193055556,240.0,1.77651447859,506.61,202.8,183.7,114.6,50.3,19.3,8.3,0.8,1.8,5.7,32.6,71.8,151.8,3.12,4.41,5.07,5.84,7.67,9.68,10.7,10.9,10.76,9.09,6.13,3.74,11.88,13.91,15.64,17.76,20.93,24.39,26.71,26.93,26.55,23.15,17.57,12.87
Benicia State Park,38.0734722222,-122.193055556,301.0,2.47954376395,685.61,175.1,162.5,115.7,57.7,24.2,11.0,1.1,2.7,8.4,44.2,84.2,147.1,4.58,5.7,5.74,6.11,7.99,10.33,11.43,11.28,10.6,8.81,6.33,4.76,13.01,15.05,16.5,18.4,21.54,25.09,27.33,27.24,26.48,23.0,17.74,13.61
Benicia State Park,38.0734722222,-122.193055556,355.0,1.25363030442,478.61,182.3,173.2,128.1,57.0,19.0,6.9,0.7,1.8,7.0,46.5,97.9,161.1,4.43,5.72,6.01,6.45,8.19,10.24,11.15,10.99,10.45,8.74,6.24,4.58,13.01,15.09,16.48,18.35,21.53,25.14,27.34,27.09,26.11,22.53,17.37,13.45
Benicia State Park,38.0734722222,-122.193055556,462.0,0.572704885173,174.61,148.9,136.1,99.7,47.3,17.7,7.3,0.7,2.0,7.4,45.0,87.8,137.6,3.67,4.74,4.87,5.44,7.64,10.3,11.59,11.42,10.54,8.48,5.74,3.97,12.48,14.42,15.72,17.66,21.08,25.02,27.45,27.21,26.08,22.33,17.02,13.02
Benicia State Park,38.0734722222,-122.193055556,1039.0,2.91482870523,514.61,158.5,137.3,101.1,51.3,21.5,10.1,1.1,3.1,11.6,66.0,116.5,161.8,3.47,4.89,5.48,6.16,7.93,9.88,10.74,10.66,10.24,8.5,5.76,3.78,11.99,14.4,16.43,18.65,21.69,24.84,26.77,26.63,25.98,22.5,17.02,12.6
Benicia State Park,38.0734722222,-122.193055556,1591.0,0.0763166530569,1310.33,162.0,153.7,111.0,55.4,23.3,10.6,1.0,2.4,7.3,38.5,74.5,133.1,3.08,4.34,4.9,5.59,7.39,9.39,10.42,10.6,10.44,8.8,5.93,3.65,11.86,13.7,15.14,17.09,20.27,23.88,26.35,26.64,26.27,22.92,17.45,12.87
